num_regions: 500
region178: [[-5.55, 1.5, -0.75], [-5.95, 1.5, -0.75], [-5.95, 1.1, -0.75], [-5.55, 1.1, -0.75]]
region179: [[-5.95, 1.5, -0.75], [-6.35, 1.5, -0.75], [-6.35, 1.1, -0.75], [-5.95, 1.1, -0.75]]
region180: [[1.65, 1.9, -0.75], [1.25, 1.9, -0.75], [1.25, 1.5, -0.75], [1.65, 1.5, -0.75]]
region181: [[1.25, 1.9, -0.75], [0.85, 1.9, -0.75], [0.85, 1.5, -0.75], [1.25, 1.5, -0.75]]
region182: [[0.85, 1.9, -0.75], [0.45, 1.9, -0.75], [0.45, 1.5, -0.75], [0.85, 1.5, -0.75]]
region183: [[0.45, 1.9, -0.75], [0.05, 1.9, -0.75], [0.05, 1.5, -0.75], [0.45, 1.5, -0.75]]
region184: [[0.05, 1.9, -0.75], [-0.35, 1.9, -0.75], [-0.35, 1.5, -0.75], [0.05, 1.5, -0.75]]
region185: [[-0.35, 1.9, -0.75], [-0.75, 1.9, -0.75], [-0.75, 1.5, -0.75], [-0.35, 1.5, -0.75]]
region186: [[-0.75, 1.9, -0.75], [-1.15, 1.9, -0.75], [-1.15, 1.5, -0.75], [-0.75, 1.5, -0.75]]
region187: [[-1.15, 1.9, -0.75], [-1.55, 1.9, -0.75], [-1.55, 1.5, -0.75], [-1.15, 1.5, -0.75]]
region188: [[-1.55, 1.9, -0.75], [-1.95, 1.9, -0.75], [-1.95, 1.5, -0.75], [-1.55, 1.5, -0.75]]
region189: [[-1.95, 1.9, -0.75], [-2.35, 1.9, -0.75], [-2.35, 1.5, -0.75], [-1.95, 1.5, -0.75]]
region190: [[-2.35, 1.9, -0.75], [-2.75, 1.9, -0.75], [-2.75, 1.5, -0.75], [-2.35, 1.5, -0.75]]
region191: [[-2.75, 1.9, -0.75], [-3.15, 1.9, -0.75], [-3.15, 1.5, -0.75], [-2.75, 1.5, -0.75]]
region192: [[-3.15, 1.9, -0.75], [-3.55, 1.9, -0.75], [-3.55, 1.5, -0.75], [-3.15, 1.5, -0.75]]
region193: [[-3.55, 1.9, -0.75], [-3.95, 1.9, -0.75], [-3.95, 1.5, -0.75], [-3.55, 1.5, -0.75]]
region194: [[-3.95, 1.9, -0.75], [-4.35, 1.9, -0.75], [-4.35, 1.5, -0.75], [-3.95, 1.5, -0.75]]
region195: [[-4.35, 1.9, -0.75], [-4.75, 1.9, -0.75], [-4.75, 1.5, -0.75], [-4.35, 1.5, -0.75]]
region196: [[-4.75, 1.9, -0.75], [-5.15, 1.9, -0.75], [-5.15, 1.5, -0.75], [-4.75, 1.5, -0.75]]
region197: [[-5.15, 1.9, -0.75], [-5.55, 1.9, -0.75], [-5.55, 1.5, -0.75], [-5.15, 1.5, -0.75]]
region198: [[-5.55, 1.9, -0.75], [-5.95, 1.9, -0.75], [-5.95, 1.5, -0.75], [-5.55, 1.5, -0.75]]
region199: [[-5.95, 1.9, -0.75], [-6.35, 1.9, -0.75], [-6.35, 1.5, -0.75], [-5.95, 1.5, -0.75]]
region200: [[-2.35, 2.3, -0.75], [-2.75, 2.3, -0.75], [-2.75, 1.9, -0.75], [-2.35, 1.9, -0.75]]
